"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","68","Get Shipping Address by ID - No Auth token","Zella API Services - Users - QA","Wed Nov 05 18:48:10 UTC 2025","passed","Wed Nov 05 18:48:10 UTC 2025","Shipping Address > Get Shipping address by ID","Profile","",""
"","68","Challenges - Invalid token","Zella API Services - Users - QA","Wed Nov 05 18:48:15 UTC 2025","passed","Wed Nov 05 18:48:15 UTC 2025","Get Challenges","Dashboard","",""
"","146","Login - Invalid password","Zella API Services - Users - QA","Wed Nov 05 18:48:08 UTC 2025","passed","Wed Nov 05 18:48:08 UTC 2025","Login > Login","Authentication","",""
"","137","Login - brand","Zella API Services - Users - QA","Wed Nov 05 18:48:08 UTC 2025","passed","Wed Nov 05 18:48:08 UTC 2025","Local - do not change","Authentication","",""
"","64","Get Comic Character lists","Zella API Services - Users - QA","Wed Nov 05 18:48:13 UTC 2025","passed","Wed Nov 05 18:48:13 UTC 2025","Characters","Comics","",""
"## Refresh Token Endpoint

This endpoint is used to obtain a new access token using a valid refresh token. It is part of the authentication flow, allowing users to maintain their session without needing to log in again.

### Request

- **Method**: POST
    
- **URL**: `{{rootUrl}}/auth/refresh-token`
    
- **Request Body**: The request must include a JSON object with the following key:
    
    - `refresh_token` (string): A valid refresh token that was previously issued to the user. This token is used to authenticate the request and generate a new access token.
        

### Example Request Body

``` json
{
  ""refresh_token"": ""your_refresh_token_here""
}

 ```

### Response

Upon successful processing of the request, the response will contain a JSON object with the new access token and potentially other relevant information. The structure of the response typically includes:

- `access_token` (string): The newly issued access token that the client can use for subsequent authenticated requests.
    
- `expires_in` (integer): The duration in seconds for which the access token is valid.
    

### Example Response

``` json
{
  ""access_token"": ""new_access_token_here"",
  ""expires_in"": 3600
}

 ```

Ensure that the refresh token is valid and has not expired to receive a successful response.","71","Refresh token - Invalid token","Zella API Services - Users - QA","Wed Nov 05 18:48:08 UTC 2025","failed","Wed Nov 05 18:48:08 UTC 2025","Login > Refresh Token","Authentication","",""
"type_id  
1 - Fans

2 - Managers

3 - Celebrities","78","Signup - Invalid Email format","Zella API Services - Users - QA","Wed Nov 05 18:48:06 UTC 2025","passed","Wed Nov 05 18:48:07 UTC 2025","Clients - Vendors and Brands","Onboarding","",""
"type_id  
1 - Fans

2 - Managers

3 - Celebrities","72","Signup - Weak password complexity","Zella API Services - Users - QA","Wed Nov 05 18:48:07 UTC 2025","failed","Wed Nov 05 18:48:07 UTC 2025","Fans","Onboarding","",""
"","83","Clear cart","Zella API Services - Users - QA","Wed Nov 05 18:48:30 UTC 2025","passed","Wed Nov 05 18:48:30 UTC 2025","Clear Cart","Carts","",""
"type_id  
1 - Fans

2 - Managers

3 - Celebrities","76","Signup - Invalid Phone Number","Zella API Services - Users - QA","Wed Nov 05 18:48:07 UTC 2025","failed","Wed Nov 05 18:48:07 UTC 2025","Fans","Onboarding","",""
"type_id  
1 - Fans

2 - Managers

3 - Celebrities","72","Signup - Invalid Email Format","Zella API Services - Users - QA","Wed Nov 05 18:48:07 UTC 2025","failed","Wed Nov 05 18:48:07 UTC 2025","Creators","Onboarding","",""
"type_id  
1 - Fans

2 - Managers

3 - Celebrities","71","Signup - Empty required field","Zella API Services - Users - QA","Wed Nov 05 18:48:07 UTC 2025","failed","Wed Nov 05 18:48:07 UTC 2025","Creators","Onboarding","",""
"","73","Get Profile","Zella API Services - Users - QA","Wed Nov 05 18:48:11 UTC 2025","passed","Wed Nov 05 18:48:11 UTC 2025","Info > Get Profile","Profile","",""
"","64","Merchant List Comics Series - Category","Zella API Services - Users - QA","Wed Nov 05 18:48:13 UTC 2025","passed","Wed Nov 05 18:48:13 UTC 2025","Chapter/Category","Comics","",""
"","71","Get User Types","Zella API Services - Users - QA","Wed Nov 05 18:48:29 UTC 2025","passed","Wed Nov 05 18:48:29 UTC 2025","Get User Types","Utilities","",""
"","104","Update Shipping Address","Zella API Services - Users - QA","Wed Nov 05 18:48:10 UTC 2025","passed","Wed Nov 05 18:48:10 UTC 2025","Shipping Address > Update Shipping address","Profile","",""
"","68","Comics records  - No Auth token","Zella API Services - Users - QA","Wed Nov 05 18:48:15 UTC 2025","passed","Wed Nov 05 18:48:15 UTC 2025","Get comics records","Dashboard","",""
"","64","Get Single comics Series Episode","Zella API Services - Users - QA","Wed Nov 05 18:48:13 UTC 2025","passed","Wed Nov 05 18:48:13 UTC 2025","Publications/Episodes/Releases","Comics","",""
"## Refresh Token Endpoint

This endpoint is used to obtain a new access token using a valid refresh token. It is part of the authentication flow, allowing users to maintain their session without needing to log in again.

### Request

- **Method**: POST
    
- **URL**: `{{rootUrl}}/auth/refresh-token`
    
- **Request Body**: The request must include a JSON object with the following key:
    
    - `refresh_token` (string): A valid refresh token that was previously issued to the user. This token is used to authenticate the request and generate a new access token.
        

### Example Request Body

``` json
{
  ""refresh_token"": ""your_refresh_token_here""
}

 ```

### Response

Upon successful processing of the request, the response will contain a JSON object with the new access token and potentially other relevant information. The structure of the response typically includes:

- `access_token` (string): The newly issued access token that the client can use for subsequent authenticated requests.
    
- `expires_in` (integer): The duration in seconds for which the access token is valid.
    

### Example Response

``` json
{
  ""access_token"": ""new_access_token_here"",
  ""expires_in"": 3600
}

 ```

Ensure that the refresh token is valid and has not expired to receive a successful response.","69","Refresh token - Empty token","Zella API Services - Users - QA","Wed Nov 05 18:48:08 UTC 2025","passed","Wed Nov 05 18:48:08 UTC 2025","Login > Refresh Token","Authentication","",""
"","65","Get vendors assignments","Zella API Services - Users - QA","Wed Nov 05 18:48:29 UTC 2025","passed","Wed Nov 05 18:48:29 UTC 2025","[Vendors] order assignments > Get vendors assignments","Orders","",""
"","67","Challenges -No Auth Token","Zella API Services - Users - QA","Wed Nov 05 18:48:15 UTC 2025","passed","Wed Nov 05 18:48:15 UTC 2025","Get Challenges","Dashboard","",""
"type_id  
1 - Fans

2 - Managers

3 - Celebrities","72","Signup - weak password complexity","Zella API Services - Users - QA","Wed Nov 05 18:48:07 UTC 2025","failed","Wed Nov 05 18:48:07 UTC 2025","Creators","Onboarding","",""
"","64","records","Zella API Services - Users - QA","Wed Nov 05 18:48:13 UTC 2025","passed","Wed Nov 05 18:48:14 UTC 2025","Comics Record/Read","Comics","",""
"","69","Reset Password - Invalid email address","Zella API Services - Users - QA","Wed Nov 05 18:48:09 UTC 2025","passed","Wed Nov 05 18:48:09 UTC 2025","Forget password > Reset Password","Authentication","",""
"","66","View design request records","Zella API Services - Users - QA","Wed Nov 05 18:48:12 UTC 2025","passed","Wed Nov 05 18:48:12 UTC 2025","Brands > Request records/submissions > View design request records","Design request","",""
"","65","Delete design request images","Zella API Services - Users - QA","Wed Nov 05 18:48:12 UTC 2025","passed","Wed Nov 05 18:48:12 UTC 2025","Brands > Request Uploads > Delete design requests uploads","Design request","",""
"","155","Login - creator","Zella API Services - Users - QA","Wed Nov 05 18:48:08 UTC 2025","passed","Wed Nov 05 18:48:08 UTC 2025","Local - do not change","Authentication","",""
"","9","Get Interests","Zella API Services - Users - QA","Wed Nov 05 18:48:29 UTC 2025","broken","Wed Nov 05 18:48:29 UTC 2025","Get Interests","Utilities","",""
"","65","View record","Zella API Services - Users - QA","Wed Nov 05 18:48:14 UTC 2025","passed","Wed Nov 05 18:48:14 UTC 2025","Creators > Participation records > Records > View record","Challenges","",""
"","10","Get Banks","Zella API Services - Users - QA","Wed Nov 05 18:48:29 UTC 2025","broken","Wed Nov 05 18:48:29 UTC 2025","Get Banks","Utilities","",""
"","68","Get Profile - No Auth Token","Zella API Services - Users - QA","Wed Nov 05 18:48:11 UTC 2025","passed","Wed Nov 05 18:48:11 UTC 2025","Info > Get Profile","Profile","",""
"","66","Export Creatives","Zella API Services - Users - QA","Wed Nov 05 18:48:13 UTC 2025","passed","Wed Nov 05 18:48:13 UTC 2025","","Tasks","",""
"","167","Login","Zella API Services - Users - QA","Wed Nov 05 18:48:07 UTC 2025","passed","Wed Nov 05 18:48:08 UTC 2025","Login > Login","Authentication","",""
"","85","Update Shipping Address  - empty required field","Zella API Services - Users - QA","Wed Nov 05 18:48:10 UTC 2025","passed","Wed Nov 05 18:48:10 UTC 2025","Shipping Address > Update Shipping address","Profile","",""
"","65","Update order shipment address","Zella API Services - Users - QA","Wed Nov 05 18:48:28 UTC 2025","passed","Wed Nov 05 18:48:28 UTC 2025","Orders operations > Update order shipment address","Orders","",""
"","84","Challenges","Zella API Services - Users - QA","Wed Nov 05 18:48:15 UTC 2025","passed","Wed Nov 05 18:48:15 UTC 2025","Get Challenges","Dashboard","",""
"","69","Update Profile - No Auth token","Zella API Services - Users - QA","Wed Nov 05 18:48:11 UTC 2025","passed","Wed Nov 05 18:48:11 UTC 2025","Info > Update Profile","Profile","",""
"","71","View cart","Zella API Services - Users - QA","Wed Nov 05 18:48:30 UTC 2025","passed","Wed Nov 05 18:48:30 UTC 2025","View Cart","Carts","",""
"type_id  
1 - Fans

2 - Managers

3 - Celebrities","79","Signup - weak password complexity","Zella API Services - Users - QA","Wed Nov 05 18:48:07 UTC 2025","failed","Wed Nov 05 18:48:07 UTC 2025","Clients - Vendors and Brands","Onboarding","",""
"","81","Get Shipping Address by ID","Zella API Services - Users - QA","Wed Nov 05 18:48:10 UTC 2025","failed","Wed Nov 05 18:48:10 UTC 2025","Shipping Address > Get Shipping address by ID","Profile","",""
"","5847","Get shipment rate","Zella API Services - Users - QA","Wed Nov 05 18:48:22 UTC 2025","passed","Wed Nov 05 18:48:28 UTC 2025","Shipment > Get shipment rate","Orders","",""
"","69","Update Shipping Address  - Invalid token","Zella API Services - Users - QA","Wed Nov 05 18:48:10 UTC 2025","passed","Wed Nov 05 18:48:10 UTC 2025","Shipping Address > Update Shipping address","Profile","",""
"","64","Record comics","Zella API Services - Users - QA","Wed Nov 05 18:48:13 UTC 2025","passed","Wed Nov 05 18:48:13 UTC 2025","Comics Record/Read","Comics","",""
"","66","Bulk approve/decline design records","Zella API Services - Users - QA","Wed Nov 05 18:48:12 UTC 2025","passed","Wed Nov 05 18:48:12 UTC 2025","Brands > Request records/submissions > Bulk approve/decline design records","Design request","",""
"","197","Reset Password","Zella API Services - Users - QA","Wed Nov 05 18:48:09 UTC 2025","passed","Wed Nov 05 18:48:09 UTC 2025","Forget password > Reset Password","Authentication","",""
"","70","Add Shipping Address - No Auth Token","Zella API Services - Users - QA","Wed Nov 05 18:48:09 UTC 2025","passed","Wed Nov 05 18:48:09 UTC 2025","Shipping Address > Add Shipping Address","Profile","",""
"","86","Add to Cart - Negative quantity","Zella API Services - Users - QA","Wed Nov 05 18:48:30 UTC 2025","passed","Wed Nov 05 18:48:30 UTC 2025","Add to Cart","Carts","",""
"","65","Cancel order","Zella API Services - Users - QA","Wed Nov 05 18:48:28 UTC 2025","passed","Wed Nov 05 18:48:28 UTC 2025","Orders operations > Cancel order","Orders","",""
"","69","Update Shipping Address  - No Auth Token","Zella API Services - Users - QA","Wed Nov 05 18:48:10 UTC 2025","passed","Wed Nov 05 18:48:10 UTC 2025","Shipping Address > Update Shipping address","Profile","",""
"","142","Login - fans","Zella API Services - Users - QA","Wed Nov 05 18:48:08 UTC 2025","passed","Wed Nov 05 18:48:09 UTC 2025","Local - do not change","Authentication","",""
"","65","Upgrade to an creator","Zella API Services - Users - QA","Wed Nov 05 18:48:11 UTC 2025","passed","Wed Nov 05 18:48:12 UTC 2025","Fans specific","Profile","",""
"","82","Update Shipping Address  - Invalid ID","Zella API Services - Users - QA","Wed Nov 05 18:48:10 UTC 2025","failed","Wed Nov 05 18:48:10 UTC 2025","Shipping Address > Update Shipping address","Profile","",""
"","7295","Get shipment options - Success","Zella API Services - Users - QA","Wed Nov 05 18:48:15 UTC 2025","passed","Wed Nov 05 18:48:22 UTC 2025","Shipment > Get shipment options","Orders","",""
"type_id  
1 - Fans

2 - Managers

3 - Celebrities","12","Complete Registration -  Invalid Token","Zella API Services - Users - QA","Wed Nov 05 18:48:07 UTC 2025","broken","Wed Nov 05 18:48:07 UTC 2025","Complete/Verify Account","Onboarding","",""
"","107","Update Profile","Zella API Services - Users - QA","Wed Nov 05 18:48:11 UTC 2025","passed","Wed Nov 05 18:48:11 UTC 2025","Info > Update Profile","Profile","",""
"type_id  
1 - Fans

2 - Managers

3 - Celebrities","74","Signup - Success","Zella API Services - Users - QA","Wed Nov 05 18:48:07 UTC 2025","failed","Wed Nov 05 18:48:07 UTC 2025","Fans","Onboarding","",""
"","79","Get Shipping Address by ID - Invalid ID","Zella API Services - Users - QA","Wed Nov 05 18:48:10 UTC 2025","passed","Wed Nov 05 18:48:10 UTC 2025","Shipping Address > Get Shipping address by ID","Profile","",""
"","64","Comics record Copy","Zella API Services - Users - QA","Wed Nov 05 18:48:13 UTC 2025","passed","Wed Nov 05 18:48:13 UTC 2025","Comics Record/Read","Comics","",""
"","65","Upload media docs","Zella API Services - Users - QA","Wed Nov 05 18:48:12 UTC 2025","passed","Wed Nov 05 18:48:13 UTC 2025","","Media","",""
"","65","Update design request","Zella API Services - Users - QA","Wed Nov 05 18:48:12 UTC 2025","passed","Wed Nov 05 18:48:12 UTC 2025","Brands > Edit request","Design request","",""
"","65","Update order items","Zella API Services - Users - QA","Wed Nov 05 18:48:28 UTC 2025","passed","Wed Nov 05 18:48:28 UTC 2025","Orders operations > Update order items","Orders","",""
"type_id  
1 - Fans

2 - Managers

3 - Celebrities","91","Signup - Vendors","Zella API Services - Users - QA","Wed Nov 05 18:48:06 UTC 2025","passed","Wed Nov 05 18:48:06 UTC 2025","Clients - Vendors and Brands","Onboarding","",""
"","65","Upload designs","Zella API Services - Users - QA","Wed Nov 05 18:48:14 UTC 2025","passed","Wed Nov 05 18:48:14 UTC 2025","Creators > Participate > Upload designs","Challenges","",""
"","74","List Bank Accounts","Zella API Services - Users - QA","Wed Nov 05 18:48:11 UTC 2025","passed","Wed Nov 05 18:48:11 UTC 2025","Bank and Bank Accounts > List Bank Accounts","Profile","",""
"","64","Stats*","Zella API Services - Users - QA","Wed Nov 05 18:48:14 UTC 2025","passed","Wed Nov 05 18:48:14 UTC 2025","Get Stats*","Dashboard","",""
"","65","Change Password*","Zella API Services - Users - QA","Wed Nov 05 18:48:11 UTC 2025","passed","Wed Nov 05 18:48:11 UTC 2025","Info > Change Password*","Profile","",""
"","66","Upload media","Zella API Services - Users - QA","Wed Nov 05 18:48:12 UTC 2025","passed","Wed Nov 05 18:48:12 UTC 2025","","Media","",""
