"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11","Set new password","Zella API Services - Users - QA","Sun Feb 01 20:16:18 UTC 2026","broken","Sun Feb 01 20:16:18 UTC 2026","Forget password > Set new password","Authentication","",""
"","49","View single","Zella API Services - Users - QA","Sun Feb 01 20:16:22 UTC 2026","passed","Sun Feb 01 20:16:22 UTC 2026","Creators > Open challenges > View single","Challenges","",""
"","48","Comics record Copy","Zella API Services - Users - QA","Sun Feb 01 20:16:21 UTC 2026","passed","Sun Feb 01 20:16:21 UTC 2026","Comics Record/Read","Comics","",""
"","55","Get User Types","Zella API Services - Users - QA","Sun Feb 01 20:16:25 UTC 2026","passed","Sun Feb 01 20:16:25 UTC 2026","Get User Types","Utilities","",""
"","49","View design requests","Zella API Services - Users - QA","Sun Feb 01 20:16:20 UTC 2026","passed","Sun Feb 01 20:16:20 UTC 2026","Brands > View requests","Design request","",""
"","584","Get shipment rate","Zella API Services - Users - QA","Sun Feb 01 20:16:24 UTC 2026","passed","Sun Feb 01 20:16:24 UTC 2026","Shipment > Get shipment rate","Orders","",""
"type_id  
1 - Fans

2 - Managers

3 - Celebrities","61","Signup - Invalid Phone Number","Zella API Services - Users - QA","Sun Feb 01 20:16:16 UTC 2026","failed","Sun Feb 01 20:16:16 UTC 2026","Fans","Onboarding","",""
"type_id  
1 - Fans

2 - Managers

3 - Celebrities","63","Signup - Invalid Email format","Zella API Services - Users - QA","Sun Feb 01 20:16:16 UTC 2026","passed","Sun Feb 01 20:16:16 UTC 2026","Clients - Vendors and Brands","Onboarding","",""
"","48","View design request records","Zella API Services - Users - QA","Sun Feb 01 20:16:20 UTC 2026","passed","Sun Feb 01 20:16:20 UTC 2026","Brands > Request records/submissions > View design request records","Design request","",""
"","53","Reset Password - empty required field","Zella API Services - Users - QA","Sun Feb 01 20:16:18 UTC 2026","passed","Sun Feb 01 20:16:18 UTC 2026","Forget password > Reset Password","Authentication","",""
"","50","Delete design request","Zella API Services - Users - QA","Sun Feb 01 20:16:20 UTC 2026","passed","Sun Feb 01 20:16:20 UTC 2026","Brands > Edit request","Design request","",""
"","48","List all comics episodes","Zella API Services - Users - QA","Sun Feb 01 20:16:21 UTC 2026","passed","Sun Feb 01 20:16:21 UTC 2026","Publications/Episodes/Releases","Comics","",""
