"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","76","Get product variant","Zella API Services - Users - QA","Sun Jan 18 20:14:40 UTC 2026","passed","Sun Jan 18 20:14:40 UTC 2026","Get Product Variant","Products","",""
"","10","Get Banks","Zella API Services - Users - QA","Sun Jan 18 20:14:40 UTC 2026","broken","Sun Jan 18 20:14:40 UTC 2026","Get Banks","Utilities","",""
"","83","Update Profile","Zella API Services - Users - QA","Sun Jan 18 20:14:33 UTC 2026","passed","Sun Jan 18 20:14:33 UTC 2026","Info > Update Profile","Profile","",""
"","148","Login - brand","Zella API Services - Users - QA","Sun Jan 18 20:14:30 UTC 2026","passed","Sun Jan 18 20:14:30 UTC 2026","Local - do not change","Authentication","",""
"","80","Get Profile - Invalid token","Zella API Services - Users - QA","Sun Jan 18 20:14:32 UTC 2026","passed","Sun Jan 18 20:14:33 UTC 2026","Info > Get Profile","Profile","",""
"","73","View comics episode","Zella API Services - Users - QA","Sun Jan 18 20:14:35 UTC 2026","passed","Sun Jan 18 20:14:35 UTC 2026","Publications/Episodes/Releases","Comics","",""
"","71","Open challenges","Zella API Services - Users - QA","Sun Jan 18 20:14:36 UTC 2026","passed","Sun Jan 18 20:14:36 UTC 2026","Creators > Open challenges > View all","Challenges","",""
"","77","Update Shipping Address  - Invalid token","Zella API Services - Users - QA","Sun Jan 18 20:14:32 UTC 2026","passed","Sun Jan 18 20:14:32 UTC 2026","Shipping Address > Update Shipping address","Profile","",""
"","76","Login - vendors","Zella API Services - Users - QA","Sun Jan 18 20:14:30 UTC 2026","passed","Sun Jan 18 20:14:30 UTC 2026","Local - do not change","Authentication","",""
"","74","Create order","Zella API Services - Users - QA","Sun Jan 18 20:14:39 UTC 2026","passed","Sun Jan 18 20:14:39 UTC 2026","Orders operations > Create order","Orders","",""
"type_id  
1 - Fans

2 - Managers

3 - Celebrities","78","Signup - weak password complexity","Zella API Services - Users - QA","Sun Jan 18 20:14:29 UTC 2026","failed","Sun Jan 18 20:14:29 UTC 2026","Creators","Onboarding","",""
"","72","View record","Zella API Services - Users - QA","Sun Jan 18 20:14:36 UTC 2026","passed","Sun Jan 18 20:14:36 UTC 2026","Creators > Participation records > Records > View record","Challenges","",""
"","73","Get vendors assignments","Zella API Services - Users - QA","Sun Jan 18 20:14:39 UTC 2026","passed","Sun Jan 18 20:14:40 UTC 2026","[Vendors] order assignments > Get vendors assignments","Orders","",""
"","73","List Comics Series - Category","Zella API Services - Users - QA","Sun Jan 18 20:14:34 UTC 2026","passed","Sun Jan 18 20:14:35 UTC 2026","Chapter/Category","Comics","",""
"## Refresh Token Endpoint

This endpoint is used to obtain a new access token using a valid refresh token. It is part of the authentication flow, allowing users to maintain their session without needing to log in again.

### Request

- **Method**: POST
    
- **URL**: `{{rootUrl}}/auth/refresh-token`
    
- **Request Body**: The request must include a JSON object with the following key:
    
    - `refresh_token` (string): A valid refresh token that was previously issued to the user. This token is used to authenticate the request and generate a new access token.
        

### Example Request Body

``` json
{
  ""refresh_token"": ""your_refresh_token_here""
}

 ```

### Response

Upon successful processing of the request, the response will contain a JSON object with the new access token and potentially other relevant information. The structure of the response typically includes:

- `access_token` (string): The newly issued access token that the client can use for subsequent authenticated requests.
    
- `expires_in` (integer): The duration in seconds for which the access token is valid.
    

### Example Response

``` json
{
  ""access_token"": ""new_access_token_here"",
  ""expires_in"": 3600
}

 ```

Ensure that the refresh token is valid and has not expired to receive a successful response.","79","Refresh token - Invalid token","Zella API Services - Users - QA","Sun Jan 18 20:14:29 UTC 2026","failed","Sun Jan 18 20:14:29 UTC 2026","Login > Refresh Token","Authentication","",""
"type_id  
1 - Fans

2 - Managers

3 - Celebrities","79","Signup - Invalid Email Format","Zella API Services - Users - QA","Sun Jan 18 20:14:28 UTC 2026","failed","Sun Jan 18 20:14:29 UTC 2026","Creators","Onboarding","",""
"","1558","Get shipment options - Success","Zella API Services - Users - QA","Sun Jan 18 20:14:37 UTC 2026","passed","Sun Jan 18 20:14:38 UTC 2026","Shipment > Get shipment options","Orders","",""
"","72","View design requests","Zella API Services - Users - QA","Sun Jan 18 20:14:33 UTC 2026","passed","Sun Jan 18 20:14:33 UTC 2026","Brands > View requests","Design request","",""
"","93","Update Shipping Address","Zella API Services - Users - QA","Sun Jan 18 20:14:31 UTC 2026","passed","Sun Jan 18 20:14:31 UTC 2026","Shipping Address > Update Shipping address","Profile","",""
"","72","Get Comic Character lists","Zella API Services - Users - QA","Sun Jan 18 20:14:34 UTC 2026","passed","Sun Jan 18 20:14:34 UTC 2026","Characters","Comics","",""
"","74","Add Bank Account","Zella API Services - Users - QA","Sun Jan 18 20:14:32 UTC 2026","passed","Sun Jan 18 20:14:32 UTC 2026","Bank and Bank Accounts > Add Bank Account","Profile","",""
"","73","Upload media docs","Zella API Services - Users - QA","Sun Jan 18 20:14:34 UTC 2026","passed","Sun Jan 18 20:14:34 UTC 2026","","Media","",""
"","164","Login","Zella API Services - Users - QA","Sun Jan 18 20:14:29 UTC 2026","passed","Sun Jan 18 20:14:29 UTC 2026","Login > Login","Authentication","",""
