"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10","Confirm Reset Password","Zella API Services - Users - QA","Sun Nov 16 20:13:06 UTC 2025","broken","Sun Nov 16 20:13:06 UTC 2025","Forget password > Confirm reset password","Authentication","",""
"","72","Get Profile","Zella API Services - Users - QA","Sun Nov 16 20:13:08 UTC 2025","passed","Sun Nov 16 20:13:08 UTC 2025","Info > Get Profile","Profile","",""
"","57","View single","Zella API Services - Users - QA","Sun Nov 16 20:13:11 UTC 2025","passed","Sun Nov 16 20:13:11 UTC 2025","Creators > Open challenges > View single","Challenges","",""
"","56","View design request records","Zella API Services - Users - QA","Sun Nov 16 20:13:09 UTC 2025","passed","Sun Nov 16 20:13:09 UTC 2025","Brands > Request records/submissions > View design request records","Design request","",""
"type_id  
1 - Fans

2 - Managers

3 - Celebrities","12","Complete Registration -  Invalid Token","Zella API Services - Users - QA","Sun Nov 16 20:13:05 UTC 2025","broken","Sun Nov 16 20:13:05 UTC 2025","Complete/Verify Account","Onboarding","",""
"","58","View","Zella API Services - Users - QA","Sun Nov 16 20:13:10 UTC 2025","passed","Sun Nov 16 20:13:10 UTC 2025","","Comics","",""
"","60","Create order","Zella API Services - Users - QA","Sun Nov 16 20:13:15 UTC 2025","passed","Sun Nov 16 20:13:15 UTC 2025","Orders operations > Create order","Orders","",""
"type_id  
1 - Fans

2 - Managers

3 - Celebrities","67","Signup - Invalid Email Format","Zella API Services - Users - QA","Sun Nov 16 20:13:04 UTC 2025","failed","Sun Nov 16 20:13:04 UTC 2025","Fans","Onboarding","",""
"","56","Delete Account","Zella API Services - Users - QA","Sun Nov 16 20:13:08 UTC 2025","passed","Sun Nov 16 20:13:08 UTC 2025","Info > Delete Account","Profile","",""
"","56","Delete design request images","Zella API Services - Users - QA","Sun Nov 16 20:13:09 UTC 2025","passed","Sun Nov 16 20:13:09 UTC 2025","Brands > Request Uploads > Delete design requests uploads","Design request","",""
"","58","Update design request","Zella API Services - Users - QA","Sun Nov 16 20:13:09 UTC 2025","passed","Sun Nov 16 20:13:09 UTC 2025","Brands > Edit request","Design request","",""
"","57","Add design request","Zella API Services - Users - QA","Sun Nov 16 20:13:09 UTC 2025","passed","Sun Nov 16 20:13:09 UTC 2025","Brands > Add request","Design request","",""
"","59","Upload designs","Zella API Services - Users - QA","Sun Nov 16 20:13:10 UTC 2025","passed","Sun Nov 16 20:13:10 UTC 2025","Creators > Participate > Upload designs","Challenges","",""
"type_id  
1 - Fans

2 - Managers

3 - Celebrities","65","Signup - Invalid Email Format","Zella API Services - Users - QA","Sun Nov 16 20:13:05 UTC 2025","failed","Sun Nov 16 20:13:05 UTC 2025","Creators","Onboarding","",""
"type_id  
1 - Fans

2 - Managers

3 - Celebrities","65","Signup - Success","Zella API Services - Users - QA","Sun Nov 16 20:13:04 UTC 2025","failed","Sun Nov 16 20:13:04 UTC 2025","Fans","Onboarding","",""
"type_id  
1 - Fans

2 - Managers

3 - Celebrities","64","Signup - weak password complexity","Zella API Services - Users - QA","Sun Nov 16 20:13:05 UTC 2025","failed","Sun Nov 16 20:13:05 UTC 2025","Creators","Onboarding","",""
"","55","Get Comic Character","Zella API Services - Users - QA","Sun Nov 16 20:13:09 UTC 2025","passed","Sun Nov 16 20:13:10 UTC 2025","Characters","Comics","",""
"","1826","Get shipment rate","Zella API Services - Users - QA","Sun Nov 16 20:13:13 UTC 2025","passed","Sun Nov 16 20:13:15 UTC 2025","Shipment > Get shipment rate","Orders","",""
"","57","Upload design request images","Zella API Services - Users - QA","Sun Nov 16 20:13:09 UTC 2025","passed","Sun Nov 16 20:13:09 UTC 2025","Brands > Request Uploads > Upload design request media","Design request","",""
"","59","View record","Zella API Services - Users - QA","Sun Nov 16 20:13:11 UTC 2025","passed","Sun Nov 16 20:13:11 UTC 2025","Creators > Participation records > Records > View record","Challenges","",""
"","57","Update order shipment address","Zella API Services - Users - QA","Sun Nov 16 20:13:15 UTC 2025","passed","Sun Nov 16 20:13:15 UTC 2025","Orders operations > Update order shipment address","Orders","",""
"","57","Bulk approve/decline design records","Zella API Services - Users - QA","Sun Nov 16 20:13:09 UTC 2025","passed","Sun Nov 16 20:13:09 UTC 2025","Brands > Request records/submissions > Bulk approve/decline design records","Design request","",""
"","70","Update Shipping Address  - empty required field","Zella API Services - Users - QA","Sun Nov 16 20:13:07 UTC 2025","passed","Sun Nov 16 20:13:07 UTC 2025","Shipping Address > Update Shipping address","Profile","",""
"","1780","Get shipment options - Success","Zella API Services - Users - QA","Sun Nov 16 20:13:11 UTC 2025","passed","Sun Nov 16 20:13:13 UTC 2025","Shipment > Get shipment options","Orders","",""
"","59","List all comics episodes","Zella API Services - Users - QA","Sun Nov 16 20:13:10 UTC 2025","passed","Sun Nov 16 20:13:10 UTC 2025","Publications/Episodes/Releases","Comics","",""
"","57","Record comics","Zella API Services - Users - QA","Sun Nov 16 20:13:10 UTC 2025","passed","Sun Nov 16 20:13:10 UTC 2025","Comics Record/Read","Comics","",""
"","73","Update Shipping Address  - Invalid ID","Zella API Services - Users - QA","Sun Nov 16 20:13:07 UTC 2025","failed","Sun Nov 16 20:13:07 UTC 2025","Shipping Address > Update Shipping address","Profile","",""
"","64","List Bank Accounts","Zella API Services - Users - QA","Sun Nov 16 20:13:08 UTC 2025","passed","Sun Nov 16 20:13:08 UTC 2025","Bank and Bank Accounts > List Bank Accounts","Profile","",""
"","61","Login - vendors","Zella API Services - Users - QA","Sun Nov 16 20:13:06 UTC 2025","passed","Sun Nov 16 20:13:06 UTC 2025","Local - do not change","Authentication","",""
"","61","Reset Password - Invalid email address","Zella API Services - Users - QA","Sun Nov 16 20:13:06 UTC 2025","passed","Sun Nov 16 20:13:06 UTC 2025","Forget password > Reset Password","Authentication","",""
"","72","List Shipping Address","Zella API Services - Users - QA","Sun Nov 16 20:13:07 UTC 2025","passed","Sun Nov 16 20:13:07 UTC 2025","Shipping Address > List Shipping Address","Profile","",""
"","56","Delete upload design","Zella API Services - Users - QA","Sun Nov 16 20:13:11 UTC 2025","passed","Sun Nov 16 20:13:11 UTC 2025","Creators > Participate > Delete upload designs","Challenges","",""
"","98","Add to Cart - Success","Zella API Services - Users - QA","Sun Nov 16 20:13:16 UTC 2025","passed","Sun Nov 16 20:13:16 UTC 2025","Add to Cart","Carts","",""
