"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"type_id  
1 - Fans

2 - Managers

3 - Celebrities","113","Signup - Vendors","Zella API Services - Users - QA","Wed Nov 19 18:47:36 UTC 2025","passed","Wed Nov 19 18:47:36 UTC 2025","Clients - Vendors and Brands","Onboarding","",""
"","81","Login - vendors","Zella API Services - Users - QA","Wed Nov 19 18:47:39 UTC 2025","passed","Wed Nov 19 18:47:39 UTC 2025","Local - do not change","Authentication","",""
"type_id  
1 - Fans

2 - Managers

3 - Celebrities","80","Signup - Invalid Email Format","Zella API Services - Users - QA","Wed Nov 19 18:47:37 UTC 2025","failed","Wed Nov 19 18:47:38 UTC 2025","Creators","Onboarding","",""
"","76","Upload design request images","Zella API Services - Users - QA","Wed Nov 19 18:47:43 UTC 2025","passed","Wed Nov 19 18:47:43 UTC 2025","Brands > Request Uploads > Upload design request media","Design request","",""
"","106","Get Shipping Address by ID","Zella API Services - Users - QA","Wed Nov 19 18:47:40 UTC 2025","failed","Wed Nov 19 18:47:40 UTC 2025","Shipping Address > Get Shipping address by ID","Profile","",""
"","77","Upload media docs","Zella API Services - Users - QA","Wed Nov 19 18:47:44 UTC 2025","passed","Wed Nov 19 18:47:44 UTC 2025","","Media","",""
"type_id  
1 - Fans

2 - Managers

3 - Celebrities","83","Signup - Weak password complexity","Zella API Services - Users - QA","Wed Nov 19 18:47:37 UTC 2025","failed","Wed Nov 19 18:47:37 UTC 2025","Fans","Onboarding","",""
"type_id  
1 - Fans

2 - Managers

3 - Celebrities","85","Signup - Invalid Phone Number","Zella API Services - Users - QA","Wed Nov 19 18:47:37 UTC 2025","failed","Wed Nov 19 18:47:37 UTC 2025","Creators","Onboarding","",""
"type_id  
1 - Fans

2 - Managers

3 - Celebrities","17","Complete Registrations","Zella API Services - Users - QA","Wed Nov 19 18:47:38 UTC 2025","broken","Wed Nov 19 18:47:38 UTC 2025","Complete/Verify Account","Onboarding","",""
"","75","View design request records","Zella API Services - Users - QA","Wed Nov 19 18:47:43 UTC 2025","passed","Wed Nov 19 18:47:43 UTC 2025","Brands > Request records/submissions > View design request records","Design request","",""
"","80","Challenges -No Auth Token","Zella API Services - Users - QA","Wed Nov 19 18:47:46 UTC 2025","passed","Wed Nov 19 18:47:46 UTC 2025","Get Challenges","Dashboard","",""
"","86","Get Profile","Zella API Services - Users - QA","Wed Nov 19 18:47:42 UTC 2025","passed","Wed Nov 19 18:47:42 UTC 2025","Info > Get Profile","Profile","",""
"type_id  
1 - Fans

2 - Managers

3 - Celebrities","93","Signup - Empty required field","Zella API Services - Users - QA","Wed Nov 19 18:47:36 UTC 2025","passed","Wed Nov 19 18:47:36 UTC 2025","Clients - Vendors and Brands","Onboarding","",""
"","75","View record","Zella API Services - Users - QA","Wed Nov 19 18:47:45 UTC 2025","passed","Wed Nov 19 18:47:45 UTC 2025","Creators > Participation records > Records > View record","Challenges","",""
"","81","List Shipping Address - Invalid token","Zella API Services - Users - QA","Wed Nov 19 18:47:40 UTC 2025","passed","Wed Nov 19 18:47:40 UTC 2025","Shipping Address > List Shipping Address","Profile","",""
"","83","Add Shipping Address - Invalid Token","Zella API Services - Users - QA","Wed Nov 19 18:47:40 UTC 2025","passed","Wed Nov 19 18:47:40 UTC 2025","Shipping Address > Add Shipping Address","Profile","",""
"## Refresh Token Endpoint

This endpoint is used to obtain a new access token using a valid refresh token. It is part of the authentication flow, allowing users to maintain their session without needing to log in again.

### Request

- **Method**: POST
    
- **URL**: `{{rootUrl}}/auth/refresh-token`
    
- **Request Body**: The request must include a JSON object with the following key:
    
    - `refresh_token` (string): A valid refresh token that was previously issued to the user. This token is used to authenticate the request and generate a new access token.
        

### Example Request Body

``` json
{
  ""refresh_token"": ""your_refresh_token_here""
}

 ```

### Response

Upon successful processing of the request, the response will contain a JSON object with the new access token and potentially other relevant information. The structure of the response typically includes:

- `access_token` (string): The newly issued access token that the client can use for subsequent authenticated requests.
    
- `expires_in` (integer): The duration in seconds for which the access token is valid.
    

### Example Response

``` json
{
  ""access_token"": ""new_access_token_here"",
  ""expires_in"": 3600
}

 ```

Ensure that the refresh token is valid and has not expired to receive a successful response.","79","Refresh token - Empty token","Zella API Services - Users - QA","Wed Nov 19 18:47:38 UTC 2025","passed","Wed Nov 19 18:47:39 UTC 2025","Login > Refresh Token","Authentication","",""
"","77","View design requests","Zella API Services - Users - QA","Wed Nov 19 18:47:43 UTC 2025","passed","Wed Nov 19 18:47:43 UTC 2025","Brands > View requests","Design request","",""
"","77","Delete design request","Zella API Services - Users - QA","Wed Nov 19 18:47:43 UTC 2025","passed","Wed Nov 19 18:47:43 UTC 2025","Brands > Edit request","Design request","",""
"","96","Challenges","Zella API Services - Users - QA","Wed Nov 19 18:47:46 UTC 2025","passed","Wed Nov 19 18:47:46 UTC 2025","Get Challenges","Dashboard","",""
"","75","Get Order","Zella API Services - Users - QA","Wed Nov 19 18:47:50 UTC 2025","passed","Wed Nov 19 18:47:50 UTC 2025","Orders operations > Get order","Orders","",""
"","80","Login - Invalid email format","Zella API Services - Users - QA","Wed Nov 19 18:47:38 UTC 2025","passed","Wed Nov 19 18:47:38 UTC 2025","Login > Login","Authentication","",""
"","74","Delete comics record","Zella API Services - Users - QA","Wed Nov 19 18:47:45 UTC 2025","passed","Wed Nov 19 18:47:45 UTC 2025","Comics Record/Read","Comics","",""
"","82","Reset Password - Invalid email address","Zella API Services - Users - QA","Wed Nov 19 18:47:39 UTC 2025","passed","Wed Nov 19 18:47:39 UTC 2025","Forget password > Reset Password","Authentication","",""
"","75","View uploads by recordID","Zella API Services - Users - QA","Wed Nov 19 18:47:45 UTC 2025","passed","Wed Nov 19 18:47:46 UTC 2025","Creators > Participation records > Design uploads > View uploads by recordID","Challenges","",""
"","75","records","Zella API Services - Users - QA","Wed Nov 19 18:47:45 UTC 2025","passed","Wed Nov 19 18:47:45 UTC 2025","Comics Record/Read","Comics","",""
"","165","Login - fans","Zella API Services - Users - QA","Wed Nov 19 18:47:39 UTC 2025","passed","Wed Nov 19 18:47:39 UTC 2025","Local - do not change","Authentication","",""
"","81","Login - empty required field","Zella API Services - Users - QA","Wed Nov 19 18:47:38 UTC 2025","passed","Wed Nov 19 18:47:38 UTC 2025","Login > Login","Authentication","",""
"","77","Update design request","Zella API Services - Users - QA","Wed Nov 19 18:47:43 UTC 2025","passed","Wed Nov 19 18:47:43 UTC 2025","Brands > Edit request","Design request","",""
"","77","Upload media","Zella API Services - Users - QA","Wed Nov 19 18:47:43 UTC 2025","passed","Wed Nov 19 18:47:44 UTC 2025","","Media","",""
"","87","Get User Types","Zella API Services - Users - QA","Wed Nov 19 18:47:51 UTC 2025","passed","Wed Nov 19 18:47:51 UTC 2025","Get User Types","Utilities","",""
"","10","Confirm Reset Password","Zella API Services - Users - QA","Wed Nov 19 18:47:40 UTC 2025","broken","Wed Nov 19 18:47:40 UTC 2025","Forget password > Confirm reset password","Authentication","",""
