"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","74","View","Zella API Services - Users - QA","Wed Feb 04 19:12:35 UTC 2026","passed","Wed Feb 04 19:12:35 UTC 2026","","Comics","",""
"","12","Get Interests","Zella API Services - Users - QA","Wed Feb 04 19:12:40 UTC 2026","broken","Wed Feb 04 19:12:40 UTC 2026","Get Interests","Utilities","",""
"","75","Challenges - Invalid token","Zella API Services - Users - QA","Wed Feb 04 19:12:36 UTC 2026","passed","Wed Feb 04 19:12:36 UTC 2026","Get Challenges","Dashboard","",""
"","78","Reset Password - empty required field","Zella API Services - Users - QA","Wed Feb 04 19:12:30 UTC 2026","passed","Wed Feb 04 19:12:30 UTC 2026","Forget password > Reset Password","Authentication","",""
"","77","Get Categories","Zella API Services - Users - QA","Wed Feb 04 19:12:39 UTC 2026","passed","Wed Feb 04 19:12:39 UTC 2026","Get Categories","Utilities","",""
"","74","Get vendors assignments","Zella API Services - Users - QA","Wed Feb 04 19:12:39 UTC 2026","passed","Wed Feb 04 19:12:39 UTC 2026","[Vendors] order assignments > Get vendors assignments","Orders","",""
"","76","Upload media image","Zella API Services - Users - QA","Wed Feb 04 19:12:33 UTC 2026","passed","Wed Feb 04 19:12:34 UTC 2026","","Media","",""
"","162","Login - creator","Zella API Services - Users - QA","Wed Feb 04 19:12:29 UTC 2026","passed","Wed Feb 04 19:12:29 UTC 2026","Local - do not change","Authentication","",""
"","79","Login - vendors","Zella API Services - Users - QA","Wed Feb 04 19:12:29 UTC 2026","passed","Wed Feb 04 19:12:29 UTC 2026","Local - do not change","Authentication","",""
"","88","List Shipping Address","Zella API Services - Users - QA","Wed Feb 04 19:12:30 UTC 2026","passed","Wed Feb 04 19:12:30 UTC 2026","Shipping Address > List Shipping Address","Profile","",""
"## Refresh Token Endpoint

This endpoint is used to obtain a new access token using a valid refresh token. It is part of the authentication flow, allowing users to maintain their session without needing to log in again.

### Request

- **Method**: POST
    
- **URL**: `{{rootUrl}}/auth/refresh-token`
    
- **Request Body**: The request must include a JSON object with the following key:
    
    - `refresh_token` (string): A valid refresh token that was previously issued to the user. This token is used to authenticate the request and generate a new access token.
        

### Example Request Body

``` json
{
  ""refresh_token"": ""your_refresh_token_here""
}

 ```

### Response

Upon successful processing of the request, the response will contain a JSON object with the new access token and potentially other relevant information. The structure of the response typically includes:

- `access_token` (string): The newly issued access token that the client can use for subsequent authenticated requests.
    
- `expires_in` (integer): The duration in seconds for which the access token is valid.
    

### Example Response

``` json
{
  ""access_token"": ""new_access_token_here"",
  ""expires_in"": 3600
}

 ```

Ensure that the refresh token is valid and has not expired to receive a successful response.","79","Refresh token - Empty token","Zella API Services - Users - QA","Wed Feb 04 19:12:29 UTC 2026","passed","Wed Feb 04 19:12:29 UTC 2026","Login > Refresh Token","Authentication","",""
"","147","Login - fans","Zella API Services - Users - QA","Wed Feb 04 19:12:29 UTC 2026","passed","Wed Feb 04 19:12:29 UTC 2026","Local - do not change","Authentication","",""
"","78","Get product variant","Zella API Services - Users - QA","Wed Feb 04 19:12:40 UTC 2026","passed","Wed Feb 04 19:12:40 UTC 2026","Get Product Variant","Products","",""
"type_id  
1 - Fans

2 - Managers

3 - Celebrities","84","Signup - Success","Zella API Services - Users - QA","Wed Feb 04 19:12:27 UTC 2026","failed","Wed Feb 04 19:12:27 UTC 2026","Fans","Onboarding","",""
"","10","Initialize payment: USD - Stripe","Zella API Services - Users - QA","Wed Feb 04 19:12:39 UTC 2026","broken","Wed Feb 04 19:12:39 UTC 2026","Payment > Initialize payment","Orders","",""
"","83","Add to Cart - Invalid Product ID","Zella API Services - Users - QA","Wed Feb 04 19:12:40 UTC 2026","passed","Wed Feb 04 19:12:40 UTC 2026","Add to Cart","Carts","",""
"","73","Get order transactions","Zella API Services - Users - QA","Wed Feb 04 19:12:39 UTC 2026","passed","Wed Feb 04 19:12:39 UTC 2026","Order transactions","Orders","",""
"","78","Reset Password - Invalid email address","Zella API Services - Users - QA","Wed Feb 04 19:12:30 UTC 2026","passed","Wed Feb 04 19:12:30 UTC 2026","Forget password > Reset Password","Authentication","",""
"","73","List all comics episodes","Zella API Services - Users - QA","Wed Feb 04 19:12:34 UTC 2026","passed","Wed Feb 04 19:12:34 UTC 2026","Publications/Episodes/Releases","Comics","",""
"type_id  
1 - Fans

2 - Managers

3 - Celebrities","95","Signup - Vendors","Zella API Services - Users - QA","Wed Feb 04 19:12:27 UTC 2026","passed","Wed Feb 04 19:12:27 UTC 2026","Clients - Vendors and Brands","Onboarding","",""
"type_id  
1 - Fans

2 - Managers

3 - Celebrities","85","Signup - Invalid Phone Number","Zella API Services - Users - QA","Wed Feb 04 19:12:27 UTC 2026","passed","Wed Feb 04 19:12:27 UTC 2026","Clients - Vendors and Brands","Onboarding","",""
"","107","Add to Cart - Success","Zella API Services - Users - QA","Wed Feb 04 19:12:40 UTC 2026","passed","Wed Feb 04 19:12:40 UTC 2026","Add to Cart","Carts","",""
"","72","View design request records","Zella API Services - Users - QA","Wed Feb 04 19:12:33 UTC 2026","passed","Wed Feb 04 19:12:33 UTC 2026","Brands > Request records/submissions > View design request records","Design request","",""
"","10","Get Banks","Zella API Services - Users - QA","Wed Feb 04 19:12:40 UTC 2026","broken","Wed Feb 04 19:12:40 UTC 2026","Get Banks","Utilities","",""
"","78","Add Shipping Address - Invalid Token","Zella API Services - Users - QA","Wed Feb 04 19:12:30 UTC 2026","passed","Wed Feb 04 19:12:30 UTC 2026","Shipping Address > Add Shipping Address","Profile","",""
"","11","Get Countries","Zella API Services - Users - QA","Wed Feb 04 19:12:40 UTC 2026","broken","Wed Feb 04 19:12:40 UTC 2026","Get Countries","Utilities","",""
"","87","Get Shipping Address by ID","Zella API Services - Users - QA","Wed Feb 04 19:12:30 UTC 2026","failed","Wed Feb 04 19:12:30 UTC 2026","Shipping Address > Get Shipping address by ID","Profile","",""
"","77","Get Profile - No Auth Token","Zella API Services - Users - QA","Wed Feb 04 19:12:32 UTC 2026","passed","Wed Feb 04 19:12:32 UTC 2026","Info > Get Profile","Profile","",""
"type_id  
1 - Fans

2 - Managers

3 - Celebrities","81","Complete Registration - Expired token","Zella API Services - Users - QA","Wed Feb 04 19:12:28 UTC 2026","passed","Wed Feb 04 19:12:28 UTC 2026","Complete/Verify Account","Onboarding","",""
"","74","Delete Account","Zella API Services - Users - QA","Wed Feb 04 19:12:32 UTC 2026","passed","Wed Feb 04 19:12:32 UTC 2026","Info > Delete Account","Profile","",""
"","81","Clear cart","Zella API Services - Users - QA","Wed Feb 04 19:12:40 UTC 2026","passed","Wed Feb 04 19:12:40 UTC 2026","Clear Cart","Carts","",""
"","1601","Get shipment options - Success","Zella API Services - Users - QA","Wed Feb 04 19:12:36 UTC 2026","passed","Wed Feb 04 19:12:38 UTC 2026","Shipment > Get shipment options","Orders","",""
"","76","View design request","Zella API Services - Users - QA","Wed Feb 04 19:12:33 UTC 2026","passed","Wed Feb 04 19:12:33 UTC 2026","Brands > View request","Design request","",""
"","667","Get shipment rate","Zella API Services - Users - QA","Wed Feb 04 19:12:38 UTC 2026","passed","Wed Feb 04 19:12:38 UTC 2026","Shipment > Get shipment rate","Orders","",""
"","11","Confirm Reset Password","Zella API Services - Users - QA","Wed Feb 04 19:12:30 UTC 2026","broken","Wed Feb 04 19:12:30 UTC 2026","Forget password > Confirm reset password","Authentication","",""
"","84","Get Occassions","Zella API Services - Users - QA","Wed Feb 04 19:12:39 UTC 2026","passed","Wed Feb 04 19:12:40 UTC 2026","Get Occassions","Utilities","",""
"","76","View design requests","Zella API Services - Users - QA","Wed Feb 04 19:12:32 UTC 2026","passed","Wed Feb 04 19:12:33 UTC 2026","Brands > View requests","Design request","",""
"","72","Merchant List Comics Series - Category","Zella API Services - Users - QA","Wed Feb 04 19:12:34 UTC 2026","passed","Wed Feb 04 19:12:34 UTC 2026","Chapter/Category","Comics","",""
"type_id  
1 - Fans

2 - Managers

3 - Celebrities","79","Signup - Success","Zella API Services - Users - QA","Wed Feb 04 19:12:28 UTC 2026","failed","Wed Feb 04 19:12:28 UTC 2026","Creators","Onboarding","",""
