"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","80","Download media documents","Zella API Services - Users - QA","Fri Nov 14 18:58:02 UTC 2025","passed","Fri Nov 14 18:58:02 UTC 2025","","Media","",""
"","91","Get Profile","Zella API Services - Users - QA","Fri Nov 14 18:58:00 UTC 2025","passed","Fri Nov 14 18:58:00 UTC 2025","Info > Get Profile","Profile","",""
"","81","Upload media image","Zella API Services - Users - QA","Fri Nov 14 18:58:02 UTC 2025","passed","Fri Nov 14 18:58:02 UTC 2025","","Media","",""
"","81","Initialize payment: NGN - Kora","Zella API Services - Users - QA","Fri Nov 14 18:58:18 UTC 2025","passed","Fri Nov 14 18:58:18 UTC 2025","Payment > Initialize payment","Orders","",""
"","80","View design request","Zella API Services - Users - QA","Fri Nov 14 18:58:01 UTC 2025","passed","Fri Nov 14 18:58:01 UTC 2025","Brands > View request","Design request","",""
"","80","View record","Zella API Services - Users - QA","Fri Nov 14 18:58:04 UTC 2025","passed","Fri Nov 14 18:58:04 UTC 2025","Creators > Participation records > Records > View record","Challenges","",""
"type_id  
1 - Fans

2 - Managers

3 - Celebrities","94","Signup - Invalid Email format","Zella API Services - Users - QA","Fri Nov 14 18:57:55 UTC 2025","passed","Fri Nov 14 18:57:55 UTC 2025","Clients - Vendors and Brands","Onboarding","",""
"type_id  
1 - Fans

2 - Managers

3 - Celebrities","87","Signup - Invalid Email Format","Zella API Services - Users - QA","Fri Nov 14 18:57:56 UTC 2025","failed","Fri Nov 14 18:57:56 UTC 2025","Creators","Onboarding","",""
"","87","Get Profile - No Auth Token","Zella API Services - Users - QA","Fri Nov 14 18:58:01 UTC 2025","passed","Fri Nov 14 18:58:01 UTC 2025","Info > Get Profile","Profile","",""
"","81","View","Zella API Services - Users - QA","Fri Nov 14 18:58:04 UTC 2025","passed","Fri Nov 14 18:58:04 UTC 2025","","Comics","",""
"type_id  
1 - Fans

2 - Managers

3 - Celebrities","87","Signup - Invalid Phone Number","Zella API Services - Users - QA","Fri Nov 14 18:57:56 UTC 2025","failed","Fri Nov 14 18:57:56 UTC 2025","Creators","Onboarding","",""
"","79","Delete design request","Zella API Services - Users - QA","Fri Nov 14 18:58:02 UTC 2025","passed","Fri Nov 14 18:58:02 UTC 2025","Brands > Edit request","Design request","",""
"## Refresh Token Endpoint

This endpoint is used to obtain a new access token using a valid refresh token. It is part of the authentication flow, allowing users to maintain their session without needing to log in again.

### Request

- **Method**: POST
    
- **URL**: `{{rootUrl}}/auth/refresh-token`
    
- **Request Body**: The request must include a JSON object with the following key:
    
    - `refresh_token` (string): A valid refresh token that was previously issued to the user. This token is used to authenticate the request and generate a new access token.
        

### Example Request Body

``` json
{
  ""refresh_token"": ""your_refresh_token_here""
}

 ```

### Response

Upon successful processing of the request, the response will contain a JSON object with the new access token and potentially other relevant information. The structure of the response typically includes:

- `access_token` (string): The newly issued access token that the client can use for subsequent authenticated requests.
    
- `expires_in` (integer): The duration in seconds for which the access token is valid.
    

### Example Response

``` json
{
  ""access_token"": ""new_access_token_here"",
  ""expires_in"": 3600
}

 ```

Ensure that the refresh token is valid and has not expired to receive a successful response.","86","Refresh token - Invalid token","Zella API Services - Users - QA","Fri Nov 14 18:57:57 UTC 2025","failed","Fri Nov 14 18:57:57 UTC 2025","Login > Refresh Token","Authentication","",""
"type_id  
1 - Fans

2 - Managers

3 - Celebrities","104","Signup - Invalid Phone Number","Zella API Services - Users - QA","Fri Nov 14 18:57:55 UTC 2025","passed","Fri Nov 14 18:57:55 UTC 2025","Clients - Vendors and Brands","Onboarding","",""
"","98","Get Shipping Address by ID","Zella API Services - Users - QA","Fri Nov 14 18:57:59 UTC 2025","failed","Fri Nov 14 18:57:59 UTC 2025","Shipping Address > Get Shipping address by ID","Profile","",""
"","110","Add Shipping Address","Zella API Services - Users - QA","Fri Nov 14 18:57:58 UTC 2025","passed","Fri Nov 14 18:57:58 UTC 2025","Shipping Address > Add Shipping Address","Profile","",""
"","6408","Get shipment options - Success","Zella API Services - Users - QA","Fri Nov 14 18:58:05 UTC 2025","passed","Fri Nov 14 18:58:12 UTC 2025","Shipment > Get shipment options","Orders","",""
"","84","List Shipping Address - Invalid token","Zella API Services - Users - QA","Fri Nov 14 18:57:59 UTC 2025","passed","Fri Nov 14 18:57:59 UTC 2025","Shipping Address > List Shipping Address","Profile","",""
"","152","Login - Invalid password","Zella API Services - Users - QA","Fri Nov 14 18:57:57 UTC 2025","passed","Fri Nov 14 18:57:57 UTC 2025","Login > Login","Authentication","",""
"","88","Login - vendors","Zella API Services - Users - QA","Fri Nov 14 18:57:58 UTC 2025","passed","Fri Nov 14 18:57:58 UTC 2025","Local - do not change","Authentication","",""
"","84","Comics records  - No Auth token","Zella API Services - Users - QA","Fri Nov 14 18:58:05 UTC 2025","passed","Fri Nov 14 18:58:05 UTC 2025","Get comics records","Dashboard","",""
"type_id  
1 - Fans

2 - Managers

3 - Celebrities","19","Complete Registrations","Zella API Services - Users - QA","Fri Nov 14 18:57:56 UTC 2025","broken","Fri Nov 14 18:57:56 UTC 2025","Complete/Verify Account","Onboarding","",""
"","82","Export Creatives","Zella API Services - Users - QA","Fri Nov 14 18:58:02 UTC 2025","passed","Fri Nov 14 18:58:03 UTC 2025","","Tasks","",""
"type_id  
1 - Fans

2 - Managers

3 - Celebrities","84","Signup - Success","Zella API Services - Users - QA","Fri Nov 14 18:57:56 UTC 2025","failed","Fri Nov 14 18:57:56 UTC 2025","Creators","Onboarding","",""
"","10","Initialize payment: USD - Stripe","Zella API Services - Users - QA","Fri Nov 14 18:58:18 UTC 2025","broken","Fri Nov 14 18:58:18 UTC 2025","Payment > Initialize payment","Orders","",""
"","88","Update cart item quantity","Zella API Services - Users - QA","Fri Nov 14 18:58:20 UTC 2025","passed","Fri Nov 14 18:58:20 UTC 2025","Update cart item quantity","Carts","",""
"","79","Delete upload design","Zella API Services - Users - QA","Fri Nov 14 18:58:04 UTC 2025","passed","Fri Nov 14 18:58:04 UTC 2025","Creators > Participate > Delete upload designs","Challenges","",""
"type_id  
1 - Fans

2 - Managers

3 - Celebrities","85","Signup - weak password complexity","Zella API Services - Users - QA","Fri Nov 14 18:57:56 UTC 2025","failed","Fri Nov 14 18:57:56 UTC 2025","Creators","Onboarding","",""
"","79","Get order transactions","Zella API Services - Users - QA","Fri Nov 14 18:58:18 UTC 2025","passed","Fri Nov 14 18:58:18 UTC 2025","Order transactions","Orders","",""
"","78","Open challenges","Zella API Services - Users - QA","Fri Nov 14 18:58:04 UTC 2025","passed","Fri Nov 14 18:58:05 UTC 2025","Creators > Open challenges > View all","Challenges","",""
"","84","Upload media docs","Zella API Services - Users - QA","Fri Nov 14 18:58:02 UTC 2025","passed","Fri Nov 14 18:58:02 UTC 2025","","Media","",""
"","82","Challenges - Invalid token","Zella API Services - Users - QA","Fri Nov 14 18:58:05 UTC 2025","passed","Fri Nov 14 18:58:05 UTC 2025","Get Challenges","Dashboard","",""
"","79","Upload designs","Zella API Services - Users - QA","Fri Nov 14 18:58:04 UTC 2025","passed","Fri Nov 14 18:58:04 UTC 2025","Creators > Participate > Upload designs","Challenges","",""
