"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","56","Login - Invalid email format","Zella API Services - Users - QA","Fri Feb 20 19:27:44 UTC 2026","passed","Fri Feb 20 19:27:44 UTC 2026","Login > Login","Authentication","",""
"","51","Upload designs","Zella API Services - Users - QA","Fri Feb 20 19:27:49 UTC 2026","passed","Fri Feb 20 19:27:49 UTC 2026","Creators > Participate > Upload designs","Challenges","",""
"","1656","Get shipment options - Success","Zella API Services - Users - QA","Fri Feb 20 19:27:50 UTC 2026","passed","Fri Feb 20 19:27:51 UTC 2026","Shipment > Get shipment options","Orders","",""
"type_id  
1 - Fans

2 - Managers

3 - Celebrities","61","Signup - Invalid Phone Number","Zella API Services - Users - QA","Fri Feb 20 19:27:43 UTC 2026","failed","Fri Feb 20 19:27:43 UTC 2026","Fans","Onboarding","",""
"","52","Get Occassions","Zella API Services - Users - QA","Fri Feb 20 19:27:53 UTC 2026","passed","Fri Feb 20 19:27:53 UTC 2026","Get Occassions","Utilities","",""
"","64","Get products variants","Zella API Services - Users - QA","Fri Feb 20 19:27:53 UTC 2026","passed","Fri Feb 20 19:27:53 UTC 2026","Get Product Variants","Products","",""
"","67","Add to Cart - Invalid Variant ID","Zella API Services - Users - QA","Fri Feb 20 19:27:53 UTC 2026","passed","Fri Feb 20 19:27:53 UTC 2026","Add to Cart","Carts","",""
"","16","Get Social Networks","Zella API Services - Users - QA","Fri Feb 20 19:27:44 UTC 2026","broken","Fri Feb 20 19:27:44 UTC 2026","Login > Get Social Networks","Authentication","",""
"type_id  
1 - Fans

2 - Managers

3 - Celebrities","69","Signup - Vendors","Zella API Services - Users - QA","Fri Feb 20 19:27:43 UTC 2026","passed","Fri Feb 20 19:27:43 UTC 2026","Clients - Vendors and Brands","Onboarding","",""
"","54","Reset Password - empty required field","Zella API Services - Users - QA","Fri Feb 20 19:27:45 UTC 2026","passed","Fri Feb 20 19:27:45 UTC 2026","Forget password > Reset Password","Authentication","",""
"","68","Get Shipping Address by ID","Zella API Services - Users - QA","Fri Feb 20 19:27:45 UTC 2026","failed","Fri Feb 20 19:27:46 UTC 2026","Shipping Address > Get Shipping address by ID","Profile","",""
