"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","75","Get Shipping Address by ID - No Auth token","Zella API Services - Users - QA","Fri Dec 26 18:59:04 UTC 2025","passed","Fri Dec 26 18:59:04 UTC 2025","Shipping Address > Get Shipping address by ID","Profile","",""
"","71","Open challenges","Zella API Services - Users - QA","Fri Dec 26 18:59:09 UTC 2025","passed","Fri Dec 26 18:59:09 UTC 2025","Creators > Open challenges > View all","Challenges","",""
"","11","Get Countries","Zella API Services - Users - QA","Fri Dec 26 18:59:13 UTC 2025","broken","Fri Dec 26 18:59:13 UTC 2025","Get Countries","Utilities","",""
"","90","Add Shipping Address - Empty required field","Zella API Services - Users - QA","Fri Dec 26 18:59:03 UTC 2025","passed","Fri Dec 26 18:59:03 UTC 2025","Shipping Address > Add Shipping Address","Profile","",""
"","72","Update design request images","Zella API Services - Users - QA","Fri Dec 26 18:59:06 UTC 2025","passed","Fri Dec 26 18:59:06 UTC 2025","Brands > Request Uploads > Update design requests uploads","Design request","",""
"","72","Get vendors assignments","Zella API Services - Users - QA","Fri Dec 26 18:59:12 UTC 2025","passed","Fri Dec 26 18:59:12 UTC 2025","[Vendors] order assignments > Get vendors assignments","Orders","",""
"type_id  
1 - Fans

2 - Managers

3 - Celebrities","16","Complete Registrations","Zella API Services - Users - QA","Fri Dec 26 18:59:01 UTC 2025","broken","Fri Dec 26 18:59:01 UTC 2025","Complete/Verify Account","Onboarding","",""
"","75","List Shipping Address - No Auth token","Zella API Services - Users - QA","Fri Dec 26 18:59:04 UTC 2025","passed","Fri Dec 26 18:59:04 UTC 2025","Shipping Address > List Shipping Address","Profile","",""
"type_id  
1 - Fans

2 - Managers

3 - Celebrities","640","Signup - Brands","Zella API Services - Users - QA","Fri Dec 26 18:58:59 UTC 2025","passed","Fri Dec 26 18:59:00 UTC 2025","Clients - Vendors and Brands","Onboarding","",""
"","93","Add to Cart - Negative quantity","Zella API Services - Users - QA","Fri Dec 26 18:59:13 UTC 2025","passed","Fri Dec 26 18:59:13 UTC 2025","Add to Cart","Carts","",""
"","76","Reset Password - Invalid email address","Zella API Services - Users - QA","Fri Dec 26 18:59:03 UTC 2025","passed","Fri Dec 26 18:59:03 UTC 2025","Forget password > Reset Password","Authentication","",""
"type_id  
1 - Fans

2 - Managers

3 - Celebrities","97","Signup - Invalid Phone Number","Zella API Services - Users - QA","Fri Dec 26 18:59:00 UTC 2025","passed","Fri Dec 26 18:59:00 UTC 2025","Clients - Vendors and Brands","Onboarding","",""
"","73","View design request records","Zella API Services - Users - QA","Fri Dec 26 18:59:06 UTC 2025","passed","Fri Dec 26 18:59:06 UTC 2025","Brands > Request records/submissions > View design request records","Design request","",""
"","77","Update Profile - Invalid token","Zella API Services - Users - QA","Fri Dec 26 18:59:05 UTC 2025","passed","Fri Dec 26 18:59:05 UTC 2025","Info > Update Profile","Profile","",""
"","9","Initialize payment: USD - Stripe","Zella API Services - Users - QA","Fri Dec 26 18:59:12 UTC 2025","broken","Fri Dec 26 18:59:12 UTC 2025","Payment > Initialize payment","Orders","",""
"","71","Start","Zella API Services - Users - QA","Fri Dec 26 18:59:08 UTC 2025","passed","Fri Dec 26 18:59:08 UTC 2025","Creators > Participate > Start/Initialize/Create record","Challenges","",""
"","72","Delete upload design","Zella API Services - Users - QA","Fri Dec 26 18:59:08 UTC 2025","passed","Fri Dec 26 18:59:08 UTC 2025","Creators > Participate > Delete upload designs","Challenges","",""
"","296","Login","Zella API Services - Users - QA","Fri Dec 26 18:59:01 UTC 2025","passed","Fri Dec 26 18:59:01 UTC 2025","Login > Login","Authentication","",""
"type_id  
1 - Fans

2 - Managers

3 - Celebrities","78","Complete Registration - Expired token","Zella API Services - Users - QA","Fri Dec 26 18:59:01 UTC 2025","passed","Fri Dec 26 18:59:01 UTC 2025","Complete/Verify Account","Onboarding","",""
"","71","Get order transactions","Zella API Services - Users - QA","Fri Dec 26 18:59:12 UTC 2025","passed","Fri Dec 26 18:59:12 UTC 2025","Order transactions","Orders","",""
"","72","Bulk approve/decline design records","Zella API Services - Users - QA","Fri Dec 26 18:59:06 UTC 2025","passed","Fri Dec 26 18:59:06 UTC 2025","Brands > Request records/submissions > Bulk approve/decline design records","Design request","",""
"","72","records","Zella API Services - Users - QA","Fri Dec 26 18:59:08 UTC 2025","passed","Fri Dec 26 18:59:08 UTC 2025","Comics Record/Read","Comics","",""
"","71","Comics record","Zella API Services - Users - QA","Fri Dec 26 18:59:08 UTC 2025","passed","Fri Dec 26 18:59:08 UTC 2025","Comics Record/Read","Comics","",""
"","71","Upload designs","Zella API Services - Users - QA","Fri Dec 26 18:59:08 UTC 2025","passed","Fri Dec 26 18:59:08 UTC 2025","Creators > Participate > Upload designs","Challenges","",""
"","11","Confirm Reset Password","Zella API Services - Users - QA","Fri Dec 26 18:59:03 UTC 2025","broken","Fri Dec 26 18:59:03 UTC 2025","Forget password > Confirm reset password","Authentication","",""
"type_id  
1 - Fans

2 - Managers

3 - Celebrities","84","Signup - Invalid Phone Number","Zella API Services - Users - QA","Fri Dec 26 18:59:00 UTC 2025","failed","Fri Dec 26 18:59:00 UTC 2025","Fans","Onboarding","",""
"","150","Login - brand","Zella API Services - Users - QA","Fri Dec 26 18:59:02 UTC 2025","passed","Fri Dec 26 18:59:03 UTC 2025","Local - do not change","Authentication","",""
"","72","Delete design request images","Zella API Services - Users - QA","Fri Dec 26 18:59:06 UTC 2025","passed","Fri Dec 26 18:59:06 UTC 2025","Brands > Request Uploads > Delete design requests uploads","Design request","",""
"","72","Stats*","Zella API Services - Users - QA","Fri Dec 26 18:59:09 UTC 2025","passed","Fri Dec 26 18:59:09 UTC 2025","Get Stats*","Dashboard","",""
"","73","Update order shipment address","Zella API Services - Users - QA","Fri Dec 26 18:59:12 UTC 2025","passed","Fri Dec 26 18:59:12 UTC 2025","Orders operations > Update order shipment address","Orders","",""
"","71","Submit challenge","Zella API Services - Users - QA","Fri Dec 26 18:59:08 UTC 2025","passed","Fri Dec 26 18:59:08 UTC 2025","Creators > Participate > Submit","Challenges","",""
"","79","Get User Types","Zella API Services - Users - QA","Fri Dec 26 18:59:12 UTC 2025","passed","Fri Dec 26 18:59:12 UTC 2025","Get User Types","Utilities","",""
"","83","Add to Cart - Invalid Variant ID","Zella API Services - Users - QA","Fri Dec 26 18:59:13 UTC 2025","passed","Fri Dec 26 18:59:13 UTC 2025","Add to Cart","Carts","",""
"","16","Get Social Networks","Zella API Services - Users - QA","Fri Dec 26 18:59:02 UTC 2025","broken","Fri Dec 26 18:59:02 UTC 2025","Login > Get Social Networks","Authentication","",""
"","75","Get Profile - No Auth Token","Zella API Services - Users - QA","Fri Dec 26 18:59:05 UTC 2025","passed","Fri Dec 26 18:59:05 UTC 2025","Info > Get Profile","Profile","",""
"","76","Reset Password - empty required field","Zella API Services - Users - QA","Fri Dec 26 18:59:03 UTC 2025","passed","Fri Dec 26 18:59:03 UTC 2025","Forget password > Reset Password","Authentication","",""
"","1421","Get shipment options - Success","Zella API Services - Users - QA","Fri Dec 26 18:59:09 UTC 2025","passed","Fri Dec 26 18:59:11 UTC 2025","Shipment > Get shipment options","Orders","",""
"","87","Get Shipping Address by ID - Invalid ID","Zella API Services - Users - QA","Fri Dec 26 18:59:04 UTC 2025","passed","Fri Dec 26 18:59:04 UTC 2025","Shipping Address > Get Shipping address by ID","Profile","",""
"","72","Add Bank Account","Zella API Services - Users - QA","Fri Dec 26 18:59:05 UTC 2025","passed","Fri Dec 26 18:59:05 UTC 2025","Bank and Bank Accounts > Add Bank Account","Profile","",""
"","72","Upgrade to an creator","Zella API Services - Users - QA","Fri Dec 26 18:59:06 UTC 2025","passed","Fri Dec 26 18:59:06 UTC 2025","Fans specific","Profile","",""
"","76","Get product by ID","Zella API Services - Users - QA","Fri Dec 26 18:59:13 UTC 2025","passed","Fri Dec 26 18:59:13 UTC 2025","Get Product by ID","Products","",""
"","73","List Comics Series - Category","Zella API Services - Users - QA","Fri Dec 26 18:59:07 UTC 2025","passed","Fri Dec 26 18:59:07 UTC 2025","Chapter/Category","Comics","",""
"type_id  
1 - Fans

2 - Managers

3 - Celebrities","81","Signup - Invalid Email Format","Zella API Services - Users - QA","Fri Dec 26 18:59:01 UTC 2025","failed","Fri Dec 26 18:59:01 UTC 2025","Creators","Onboarding","",""
"","99","Update Shipping Address","Zella API Services - Users - QA","Fri Dec 26 18:59:04 UTC 2025","passed","Fri Dec 26 18:59:04 UTC 2025","Shipping Address > Update Shipping address","Profile","",""
"","73","View record","Zella API Services - Users - QA","Fri Dec 26 18:59:08 UTC 2025","passed","Fri Dec 26 18:59:08 UTC 2025","Creators > Participation records > Records > View record","Challenges","",""
"","71","Delete comics record","Zella API Services - Users - QA","Fri Dec 26 18:59:08 UTC 2025","passed","Fri Dec 26 18:59:08 UTC 2025","Comics Record/Read","Comics","",""
