"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","37","Add design request","Zella API Services - Users - QA","Fri Jan 09 19:02:17 UTC 2026","passed","Fri Jan 09 19:02:17 UTC 2026","Brands > Add request","Design request","",""
"","37","Get single assignment","Zella API Services - Users - QA","Fri Jan 09 19:02:22 UTC 2026","passed","Fri Jan 09 19:02:22 UTC 2026","[Vendors] order assignments > Get vendors assignment by ID","Orders","",""
"","37","Start","Zella API Services - Users - QA","Fri Jan 09 19:02:19 UTC 2026","passed","Fri Jan 09 19:02:19 UTC 2026","Creators > Participate > Start/Initialize/Create record","Challenges","",""
"","42","Comics records  - No Auth token","Zella API Services - Users - QA","Fri Jan 09 19:02:19 UTC 2026","passed","Fri Jan 09 19:02:19 UTC 2026","Get comics records","Dashboard","",""
"","40","Comics record Copy","Zella API Services - Users - QA","Fri Jan 09 19:02:18 UTC 2026","passed","Fri Jan 09 19:02:19 UTC 2026","Comics Record/Read","Comics","",""
"type_id  
1 - Fans

2 - Managers

3 - Celebrities","17","Complete Registrations","Zella API Services - Users - QA","Fri Jan 09 19:02:15 UTC 2026","broken","Fri Jan 09 19:02:15 UTC 2026","Complete/Verify Account","Onboarding","",""
"","41","Add Shipping Address - No Auth Token","Zella API Services - Users - QA","Fri Jan 09 19:02:16 UTC 2026","passed","Fri Jan 09 19:02:16 UTC 2026","Shipping Address > Add Shipping Address","Profile","",""
"","41","View cart","Zella API Services - Users - QA","Fri Jan 09 19:02:23 UTC 2026","passed","Fri Jan 09 19:02:23 UTC 2026","View Cart","Carts","",""
"","9","Get Countries","Zella API Services - Users - QA","Fri Jan 09 19:02:22 UTC 2026","broken","Fri Jan 09 19:02:22 UTC 2026","Get Countries","Utilities","",""
"","37","Download media","Zella API Services - Users - QA","Fri Jan 09 19:02:18 UTC 2026","passed","Fri Jan 09 19:02:18 UTC 2026","","Media","",""
"type_id  
1 - Fans

2 - Managers

3 - Celebrities","684","Signup - Brands","Zella API Services - Users - QA","Fri Jan 09 19:02:13 UTC 2026","passed","Fri Jan 09 19:02:14 UTC 2026","Clients - Vendors and Brands","Onboarding","",""
"","38","Upload design request images","Zella API Services - Users - QA","Fri Jan 09 19:02:18 UTC 2026","passed","Fri Jan 09 19:02:18 UTC 2026","Brands > Request Uploads > Upload design request media","Design request","",""
"","40","Upload designs","Zella API Services - Users - QA","Fri Jan 09 19:02:19 UTC 2026","passed","Fri Jan 09 19:02:19 UTC 2026","Creators > Participate > Upload designs","Challenges","",""
"","19","Get Social Networks","Zella API Services - Users - QA","Fri Jan 09 19:02:15 UTC 2026","broken","Fri Jan 09 19:02:15 UTC 2026","Login > Get Social Networks","Authentication","",""
"","49","Add to Cart - Invalid Variant ID","Zella API Services - Users - QA","Fri Jan 09 19:02:22 UTC 2026","passed","Fri Jan 09 19:02:23 UTC 2026","Add to Cart","Carts","",""
"","39","Delete upload design","Zella API Services - Users - QA","Fri Jan 09 19:02:19 UTC 2026","passed","Fri Jan 09 19:02:19 UTC 2026","Creators > Participate > Delete upload designs","Challenges","",""
"","44","Login - vendors","Zella API Services - Users - QA","Fri Jan 09 19:02:15 UTC 2026","passed","Fri Jan 09 19:02:16 UTC 2026","Local - do not change","Authentication","",""
"","38","Initialize payment: NGN - Kora","Zella API Services - Users - QA","Fri Jan 09 19:02:22 UTC 2026","passed","Fri Jan 09 19:02:22 UTC 2026","Payment > Initialize payment","Orders","",""
"type_id  
1 - Fans

2 - Managers

3 - Celebrities","52","Signup - Invalid Email format","Zella API Services - Users - QA","Fri Jan 09 19:02:14 UTC 2026","passed","Fri Jan 09 19:02:14 UTC 2026","Clients - Vendors and Brands","Onboarding","",""
"type_id  
1 - Fans

2 - Managers

3 - Celebrities","51","Signup - Success","Zella API Services - Users - QA","Fri Jan 09 19:02:14 UTC 2026","failed","Fri Jan 09 19:02:14 UTC 2026","Fans","Onboarding","",""
"type_id  
1 - Fans

2 - Managers

3 - Celebrities","47","Signup - weak password complexity","Zella API Services - Users - QA","Fri Jan 09 19:02:14 UTC 2026","failed","Fri Jan 09 19:02:14 UTC 2026","Creators","Onboarding","",""
"","44","Reset Password - empty required field","Zella API Services - Users - QA","Fri Jan 09 19:02:16 UTC 2026","passed","Fri Jan 09 19:02:16 UTC 2026","Forget password > Reset Password","Authentication","",""
"","69","Clear cart","Zella API Services - Users - QA","Fri Jan 09 19:02:23 UTC 2026","passed","Fri Jan 09 19:02:23 UTC 2026","Clear Cart","Carts","",""
"","49","Get product by ID","Zella API Services - Users - QA","Fri Jan 09 19:02:22 UTC 2026","passed","Fri Jan 09 19:02:22 UTC 2026","Get Product by ID","Products","",""
"","38","Get Single comics Series","Zella API Services - Users - QA","Fri Jan 09 19:02:18 UTC 2026","passed","Fri Jan 09 19:02:18 UTC 2026","Chapter/Category","Comics","",""
"","37","Update order shipment address","Zella API Services - Users - QA","Fri Jan 09 19:02:22 UTC 2026","passed","Fri Jan 09 19:02:22 UTC 2026","Orders operations > Update order shipment address","Orders","",""
